,Rating,Latitude,Longitude,Name,Website,Vicinity,Address,Food Tags,Place tags,X_coord,Y_coord
2796,9.0,28.584085,77.1917529,New Zaika,0,"V-9, Food Plaza, Yashwant Place, Opp. Chanakya Cinema, Chanakyapuri, New Delhi","V-9, Food Plaza, Yashwant Place, Opp. Chanakya Cinema, Chanakyapuri, New Delhi, Delhi 110023, India",0,0,25.799872311828203,22.61675569382071
2797,7.2,28.5843156,77.1914079,Chanakya Bar-Be Que Sizzlers Restaurant,0,"Shop No 27, Food Plaza,Yashwant Place, Chanakyapuri, New Delhi","Shop No 27, Food Plaza,Yashwant Place, Chanakyapuri, New Delhi, Delhi 110021, India",1,0,25.75754491349609,22.61497572228346
2798,9.0,28.584234,77.191373,"Bawarchi's Indian, Mughlai & Chinese",0,"Shop No. 25, Yashwant Place, Chanakyapuri, New Delhi","Shop No. 25, Yashwant Place, Chanakyapuri, New Delhi, Delhi 110021, India",0,0,25.760720789039777,22.60582412243301
2799,10.0,28.584161,77.1912928,PAPABUBBLE DELHI,1,"Foodhall, The Chanakya, Chanakyapuri, Delhi","Foodhall, The Chanakya, Chanakyapuri, Delhi, 110021, India",0,0,25.75987971272575,22.594585210609594
2800,8.2,28.5841611,77.190692,MKT,1,"Lower Ground Floor, The Chanakya Mall, Chanakyapuri, New Delhi","Lower Ground Floor, The Chanakya Mall, Chanakyapuri, New Delhi, Delhi 110021, India",0,0,25.71470370222953,22.557158129506597
2801,8.6,28.5837149999999,77.1908694999999,BHANDARI PAAN ( à¤­à¤‚à¤¡à¤¾à¤°à¥€ à¤ªà¤¾à¤¨ ),1,"PT-71, Chanakya Cinema lane, Opp to THE CHANAKYA, New Delhi","PT-71, Chanakya Cinema lane, Opp to THE CHANAKYA, Chanakyapuri, New Delhi, Delhi 110021, India",0,0,25.75975485315549,22.53007529377016
2802,8.8,28.6006297,77.2161780999999,Sevilla,0,"The Claridges New Delhi, 12, Dr APJ Abdul kalam Rd, New Delhi","The Claridges New Delhi, 12, Dr APJ Abdul kalam Rd, Tees January Road Area, Motilal Nehru Marg Area, New Delhi, Delhi 110011, India",0,0,26.460235531198506,25.55307456816583
2803,8.6,28.600414,77.2162833999999,Dhaba,1,"12, APJ Kalam Road, Tees January Road Area, New Delhi","12, APJ Kalam Road, Tees January Road Area, Motilal Nehru Marg Area, New Delhi, Delhi 110011, India",0,0,26.483481493548876,25.541196441125564
2804,8.6,28.600652,77.216128,Pickwicks,0,"The Claridges, 12, APJ Abdul Kalam Road, New Delhi","The Claridges, 12, APJ Abdul Kalam Road, Tees January Road Area, Motilal Nehru Marg Area, New Delhi, Delhi 110011, India",1,0,26.45488436907324,25.55185938632748
2805,8.2,28.5996355,77.2262652,Subway,1,"8C, Ground Floor, Subramaniam Bharti Marg, Khan Market, New Delhi","8C, Ground Floor, Subramaniam Bharti Marg, Khan Market, Rabindra Nagar, New Delhi, Delhi 110003, India",0,0,27.289199167408523,26.09656324722228
2806,8.6,28.604943,77.2235319999999,House of Ming,1,"The Taj Mahal Hotel, No.1, Mansingh Road,, Near Khan Market, India Gate, New Delhi","The Taj Mahal Hotel, No.1, Mansingh Road,, Near Khan Market, India Gate, South Block, Man Singh Road Area, New Delhi, Delhi 110011, India",0,0,26.70651390683879,26.37995785597926
2807,8.8,28.604906,77.2235319999999,Rick's,1,"The Taj Mahal Hotel, No.1, Mansingh Road,, Near Khan Market, India Gate, New Delhi","The Taj Mahal Hotel, No.1, Mansingh Road,, Near Khan Market, India Gate, South Block, Man Singh Road Area, New Delhi, Delhi 110011, India",1,0,26.70914349194483,26.3767951460077
